DATAFLOW,LAST UPDATE,freq,unit,s_adj,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,AT,2019-Q3,9490,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,AT,2019-Q4,9790,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,AT,2020-Q1,9030,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,AT,2020-Q2,8120,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,AT,2020-Q3,9040,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,AT,2020-Q4,9190,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,AT,2021-Q1,8550,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,AT,2021-Q2,9140,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,AT,2021-Q3,9480,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,AT,2021-Q4,9650,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,BE,2019-Q3,8720,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,BE,2019-Q4,9500,
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,BE,2020-Q1,8580,p
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,BE,2020-Q2,7870,p
ESTAT:NAMQ_10_PC$DEFAULTVIEW(1.0),22/04/22 23:00:00,Q,CLV10_EUR_HAB,NSA,B1GQ,BE,2020-Q3,8360,p
