DATAFLOW,LAST UPDATE,freq,unit,s_adj,indic,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,AT:Austria,2018-01,6.4,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,AT:Austria,2018-02,6.1,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,AT:Austria,2018-03,5.8,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,AT:Austria,2018-04,5.2,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,AT:Austria,2018-05,4.4,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,AT:Austria,2018-06,4.8,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,AT:Austria,2018-07,5.1,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,AT:Austria,2018-08,5,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,AT:Austria,2018-09,5,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,AT:Austria,2018-10,5.1,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,AT:Austria,2018-11,4.5,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,AT:Austria,2018-12,5.1,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,AT:Austria,2019-01,5.5,,
ESTAT:EI_LMHR_M(1.0),21/04/2022 23:00,M:Monthly,PC_ACT:Percentage of population in the labour force,NSA:Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-T-TOT:Unemployment according to ILO definition - Total,AT:Austria,2019-02,6,,
